"Translation Info:
#---------------------------
# Translation of the meanings of the Noble Qur'an
# Language: Albanian
# Translation ID: albanian_nahi
# Source: https://quranenc.com
# URL: https://quranenc.com/en/browse/albanian_nahi
# Last update: 2019-12-22 (v1.1.0-csv.1)
# Check for updates: https://quranenc.com/check/albanian_nahi/v1.1.0-csv.1
# PLEASE DON'T REMOVE THIS IMPORTANT INFORMATION!
#---------------------------",,,,
id,sura,aya,translation,footnotes
1,1,1,"Me emrin e Allahut, të Gjithëmëshirshmit, Mëshirëplotit![1]","[1] Kjo formulë quhet El-Besmele në terminologjinë islame dhe ndodhet në fillim të çdo sureje të Kuranit, përveç sures së nëntë. Ajo është një thirrje që i drejtohet Allahut të Madhëruar, në mënyrë që Ai ta pranojë dhe ta bekojë veprimin që nis me këtë formulë. Besmele-ja përbëhet nga dy pjesë: përmendja e emrit të Allahut (bismil-lâh) dhe përmendja e dy prej cilësive të Tij, me të cilat Ai ka dashur që robërit e Vet ta identifikojnë: Er-Rahmân dhe Er-Rahîm (i Gjithëmëshirshmi, Mëshirëploti). Kur shqipton pjesën e parë të formulës, myslimani thotë: “Me emrin e Allahut e nis leximin”. Më pas vazhdon me dy cilësitë: Er-Rahmân dhe Er-Rahîm, të cilët rrjedhin nga e njëjta rrënjë rahima që do të thotë “të mëshirosh”. Në lidhje me dallimin midis këtyre dy emrave të Allahut janë bërë trajtesa të shumta e të gjata, sepse, siç ndodh gjithmonë, para Madhështisë së Allahut dituria dhe njohuria njerëzore kanë gjithnjë diçka për të thënë. Sipas disa komenteve, emri Er-Rahmân do të thotë “i Mëshirshëm dhe Përdëllyes për të gjitha krijesat”, prandaj është përkthyer “I Gjithëmëshirshmi”, kurse emri Er-Rahîm, edhe pse tregon një mëshirë të pakufishme, sipas komentuesve të Kuranit, kjo mëshirë është e veçantë vetëm për besimtarët. Ky emër është përkthyer “Mëshirëploti”."
2,1,2,"Çdo lavdërim i përket Allahut, Zotit të botëve,",""
3,1,3,"të Gjithëmëshirshmit, Mëshirëplotit,",""
4,1,4,"Sunduesit të Ditës së Gjykimit.",""
5,1,5,"Vetëm Ty të adhurojmë dhe vetëm prej Teje ndihmë kërkojmë.[2]","[2] Vini re kumbimin e rreptë monoteist të lutjeve islame. Në Islam, jo vetëm që nuk duhet adhuruar asnjë krijesë, por edhe t’i lutesh për ndihmë ndonjë shenjtori, profeti apo çfarëdo krijese tjetër, është rreptësisht e ndaluar. Njeriu duhet t’i lutet për ndihmë vetëm Allahut."
6,1,6,"Udhëzona në rrugën e drejtë![3]","[3] Pas lavdërimit të Allahut, pas njohjes së sundimit të Tij hyjnor mbi gjithësinë dhe mbi Ditën e Gjykimit dhe pas deklarimit të nënshtrimit të tërësishëm ndaj Allahut, që konkretizohet në adhurimin kushtuar Atij dhe në heqjen dorë nga çdo lloj ndihmësi e mbrojtësi tjetër përveç Atij, njeriu i kërkon Zotit të Tij që t’i japë një udhëzim për në rrugën e drejtë, një sistem doktrinar, shpirtëror dhe ligjor që do ta udhëheqë përmes kësaj prove tokësore deri në jetën e përtejme."
7,1,7,"Në rrugën e atyre që u ke dhuruar mirësi[4] e jo në të atyre që kanë shkaktuar zemërimin Tënd,[5] as në të atyre që janë të humbur![6]","[4] Vargu i fundit përmban pohimin se edhe para shpalljes së Kuranit, mëshira e Allahut të Madhëruar vepronte midis njerëzve, duke prodhuar sjellje të ndriçuara nga besimi dhe të udhëhequra nga frika ndaj Zotit. Sipas komentuesit më të njohur të Kuranit, Ibn Abbasit (r.a.), ata njerëz të cilëve Allahu u ka dhuruar mirësi, janë: profetët, besimtarët e sinqertë e të drejtë (siddikûn), martirët për çështjen e besimit (shuhadâ’) dhe besimtarët e mirë e të drejtë (sâlihûn). 
[5] Njerëzit e tillë janë ata që e njohin rrugën e drejtë, por që nuk e ndjekin atë.
[6] Njerëzit e tillë janë ata që kanë gabuar rrugë, duke kujtuar se ndjekin rrugën e drejtë."
8,2,1,"Elif, Lâm, Mîm.[7]","[7] Elif-i, Lâm-i dhe Mîm-i janë tri shkronja të veçanta të alfabetit arab. Shkronja të tilla të veçanta ndodhen në të njëjtin pozicion në 29 sure të tjera. Në lidhje me kuptimin e tyre, dijetarët komentues të Kuranit, kanë dhënë shumë interpretime, por asnjëri prej tyre nuk ka arritur një konsensus të tillë të përgjithshëm që të konsiderohet si interpretimi më i besueshëm. Gjithsesi, shumë komentues kanë mendimin se kuptimin e vërtetë të këtyre shkronjave e di vetëm Allahu dhe se ato bëjnë pjesë në ato vargje, për të cilat vargu i shtatë i sures Ali Imran thotë: “Është Ai që të ka shpallur ty (Muhamed) Librin, disa vargje të të cilit janë të qarta e me kuptim të drejtpërdrejtë. Ato janë themelet e Librit. Kurse disa (vargje) të tjera janë jo krejtësisht të qarta (me kuptime alegorike). Ata, zemrat e të cilëve priren nga e pavërteta, ndjekin vargjet më pak të qarta, duke kërkuar të krijojnë pështjellim dhe duke kërkuar t’i komentojnë sipas dëshirës së vet. Por, kuptimin e tyre të vërtetë e di vetëm Allahu. Ndërsa ata që janë thelluar në dijeni, thonë: “Ne i besojmë (Kuranit). Të gjitha këto (vargje të qarta e alegorike) janë nga Zoti ynë!” Nëse secila nga shkronjat e veçanta të përdorura në fillimet e 30 sureve, llogaritet vetëm një herë, atëherë numri i tyre është katërmbëdhjetë, po aq sa gjysma e shkronjave të alfabetit arab."
9,2,2,"Ky është Libri në të cilin nuk ka dyshim[8]. Ai është udhërrëfyes[9] për të devotshmit,[10]","[8] Pra, nuk ka dyshim se ky Libër – Kurani – është Fjala e Allahut. Kurani ndryshon nga shkrimet e tjera të shenjta, sepse çdo shkronjë dhe çdo fjalë e tij është e Zotit dhe se ai është i ruajtur në pastërtinë e vet origjinale.
[9] Pra, Kurani është libër ndriçues që tregon rrugën e drejtë të besimit dhe të sjelljes dhe jo libër letërsie, historie apo shkencash fizike. Edhe pse ai është shkruar në stilin më të lartë letrar në gjuhën arabe, edhe pse përmban të dhëna të sakta historike apo shkencore, para së gjithash ai është një libër i shenjtë që përmban urdhërime, ligje dhe mësime hyjnore, sipas të cilave njerëzit duhet të formojnë jetën e tyre.
[10] “të devotshmit”: ky është përkthimi i fjalës “muttekûn”, e cila fjalë për fjalë do të thotë: “ata që i ruhen Allahut dhe që kanë frikë prej Atij”. Frika prej Allahut nuk është e tillë që ta tmerrojë besimtarin apo ta terrorizojë atë, por është një frikë e përzier me ndjenjën e dashurisë, adhurimit, respektit dhe dorëzimit para Atij. Myslimani qan nga frika prej Allahut, por më së shumti është ëmbëlsia që ndien nga dashuria për Atë, dhe jo ankthi, ajo që ia shkrin zemrën, ia djeg kraharorin dhe e bën që t’i rrjedhin lotët."
10,2,3,"të cilët besojnë në të fshehtën,[11] falin namazin[12] dhe japin[13] nga ajo që u kemi dhënë Ne;","[11] “të fshehtën”: ky është përkthimi i fjalës “gajb” që përfshin gjithçka që është përtej perceptimeve njerëzore dhe e pakapshme nga arsyeja e thjeshtë, si p.sh.: ringjallja, Xheneti (Parajsa), Xhehenemi (Ferri), paracaktimi hyjnor etj. Të gjitha këto gjëra janë përtej mendjes sonë dhe zbulohen vetëm nëpërmjet Shpalljes Hyjnore.
[12] Namazi është shtylla e dytë e Islamit. Ai është një ritual i posaçëm i përbërë nga leximi i pjesëve të caktuara prej Kuranit dhe nga recitime lavdesh e lutjesh për Zotin, të kombinuara me lëvizje të veçanta. Namazi është i detyrueshëm të kryhet nga çdo besimtar pesë herë në ditë në kohë të caktuara.
[13] Vargu bën fjalë për çdo lloj shpenzimi në të mirë të njerëzve, përfshirë këtu edhe zekatin – 1/40 e pasurisë –, që është detyrim financiar për çdo mysliman të pasur."
11,2,4,"dhe të cilët besojnë në atë që të është shpallur ty (o Muhamed), në atë që është shpallur përpara teje dhe që me bindje i besojnë jetës tjetër.",""
12,2,5,"Ata janë udhëzuar në rrugë të drejtë nga Zoti i tyre dhe pikërisht ata janë të shpëtuarit.[14]","[14] Për ta përmbledhur, të udhëzuarit në rrugën e drejtë dhe të devotshmit dallohen për: 1) besimin në të padukshmen; 2) faljen e rregullt të namazeve; 3) shpenzimin në të mirë të të tjerëve; 4) besimin në Mesazhin që i është shpallur Profetit Muhamed (a.s.); 5) besimin në të gjithë Librat e mëparshëm Hyjnorë dhe 6) besimin e patundur në jetën e përtejme."
13,2,6,"Sa për ata që mohojnë, njësoj është, i paralajmërove apo nuk i paralajmërove - ata nuk besojnë.",""
14,2,7,"Allahu i ka vulosur zemrat e tyre, ndërsa në veshët dhe sytë e tyre kanë mbulesë; ata i pret një dënim i madh.",""
15,2,8,"Ka disa njerëz që thonë: “Besojmë në Allahun dhe në Ditën e Gjykimit!”, por në të vërtetë ata nuk janë besimtarë.",""
16,2,9,"Ata përpiqen të mashtrojnë Allahun dhe besimtarët, por në të vërtetë mashtrojnë vetëm vetveten, megjithëse nuk e ndiejnë.",""
