"Translation Info:
#---------------------------
# Translation of the meanings of the Noble Qur'an
# Language: Bosnian
# Translation ID: bosnian_rwwad
# Source: https://quranenc.com
# URL: https://quranenc.com/en/browse/bosnian_rwwad
# Last update: 2020-03-03 (v2.0.0-csv.1)
# Check for updates: https://quranenc.com/check/bosnian_rwwad/v2.0.0-csv.1
# PLEASE DON'T REMOVE THIS IMPORTANT INFORMATION!
#---------------------------",,,,
id,sura,aya,translation,footnotes
1,1,1,"U ime Allaha, Milostivog, Samilosnog!",""
2,1,2,"Sva hvala pripada Allahu, Gospodaru svih svjetova!",""
3,1,3,"Milostivom, Samilosnom!",""
4,1,4,"Vladaru Sudnjega dana!",""
5,1,5,"Samo Tebe obožavamo i samo od Tebe pomoć tražimo!",""
6,1,6,"Uputi nas na Pravi put!",""
7,1,7,"Na put onih kojima si blagodati Svoje darovao, a ne na put onih na koje si se rasrdio, niti onih koji su zalutali.",""
8,2,1,"Elif-Lām-Mīm",""
9,2,2,"Ova Knjiga – u koju nema sumnje – uputa je bogobojaznima",""
10,2,3,"onima koji u svijet nevidljivi vjeruju i koji namaz obavljaju i dijele od onoga čime smo ih Mi opskrbili,",""
11,2,4,"i onima koji vjeruju u ono što je objavljeno tebi i što je objavljeno prije tebe, i koji u ahiret čvrsto vjeruju.",""
12,2,5,"Njima je Gospodar njihov na Pravi put ukazao i to su oni koji su uspjeli.",""
13,2,6,"Onima koji ne vjeruju doista je svejedno upozoravao ti njih ili ne upozoravao, oni ne vjeruju.",""
14,2,7,"Allah je zapečatio srca njihova i uši njihove, a pred očima njihovim je koprena; njih čeka patnja golema.",""
15,2,8,"Ima ljudi koji govore: ""Vjerujemo u Allaha i Posljednji dan"", a oni nisu vjernici!",""
16,2,9,"Oni misle da varaju Allaha i one koji vjeruju, a nikog osim sebe oni ne varaju, ali ne osjećaju.",""
17,2,10,"U srcima njihovim je bolest i Allah im povećava bolest. Njih čeka patnja bolna zbog toga što su lagali.",""
18,2,11,"Kada im se kaže: ""Ne pravite nered na Zemlji!"", odgovaraju: ""Mi samo red uspostavljamo!""",""
19,2,12,"Naprotiv! Oni su uistinu pravi smutljivci, ali to ne opažaju.",""
20,2,13,"Kada im se kaže: ""Vjerujte kao što ovi ljudi vjeruju!"", oni odgovaraju: ""Zar da vjerujemo kao što maloumnici vjeruju!?"" A doista su oni maloumnici, ali to oni ne znaju!",""
21,2,14,"Kada susretnu one koji vjeruju, oni govore: ""Vjerujemo!"", a čim ostanu nasamo, sa šejtanima svojim, govore: ""Mi smo s vama. Mi se samo izrugujemo.""",""
22,2,15,"Allah se njima izruguje i ostavlja ih da u svojoj osionosti lutaju.",""
23,2,16,"To su oni koji su zabludu uzeli umjesto Upute, ali im njihova trgovina neće donijeti dobiti, jer oni Uputu nisu slijedili.",""
24,2,17,"Oni su slični onome koji potpali vatru, a kada ona osvijetli ono što oko njega je, Allah im oduzme svjetlo i ostavi ih u tminama, pa ništa ne vide.",""
25,2,18,"Gluhi, nijemi i slijepi su oni, pa ne mogu da se povrate!",""
26,2,19,"Ili su oni slični onima koji za vrijeme silnog pljuska s neba, uz tmine, grmljavinu i munje, zbog gromova stavljaju prste u uši bojeći se smrti. A Allah obuhvata nevjernike.",""
27,2,20,"Munja samo što ih ne zaslijepi: kad god im osvijetli – oni krenu, a čim ih tami prepusti – zastanu! A da Allah hoće, On bi im oduzeo i sluh i vid. Allah, uistinu, sve može.",""
28,2,21,"O ljudi, ibadet činite Gospodaru svome, Koji je stvorio vas i one prije vas, da biste se uščuvali.",""
29,2,22,"Koji vam je Zemlju posteljom, a nebo zdanjem učinio; Koji s neba spušta vodu i s njom izvodi plodove, opskrbu vašu. Zato ne pripisujte Allahu ortake, a vi znate.",""
30,2,23,"A ako sumnjate u ono što smo Mi objavili robu Svome, sačinite vi jednu suru sličnu tome i pozovite i svjedoke vaše, mimo Allaha, ako istinu govorite.",""
31,2,24,"Pa ako to ne učinite, a sigurno nećete učiniti, onda se čuvajte vatre čije će gorivo biti ljudi i kamenje; pripremljena je ona za nevjernike.",""
32,2,25,"A obraduj one koji vjeruju i dobra djela čine da njima pripadaju džennetske bašče kroz koje rijeke teku! Kad god budu opskrbljeni kakvim plodom, reći će: ""Ovim smo i prije bili opskrbljeni!"" A bit će im davani samo njima slični! U njima će oni supruge očišćene imati i oni će u njima vječno boraviti.",""
33,2,26,"Doista se Allah ne ustručava za primjer navesti komarca ili nešto iznad njega; oni koji vjeruju – pa, oni znaju da je to Istina od Gospodara njihova; a oni koji ne vjeruju govore: ""Šta to Allah hoće ovim primjerom?"" Time On da da mnogi u zabludu skrenu, a mnoge na Pravi put upućuje, a time na stranputicu skreće samo razvratnike;",""
34,2,27,"One koji krše obavezu prema Allahu nakon što je prihvaćena i prekidaju ono što je Allah naredio da se održava i nered na Zemlji prave; to su pravi gubitnici.",""
35,2,28,"Kako ne vjerujete u Allaha, vi koji ste bili mrtvi pa vas je On oživio, zatim će vas usmrtiti, zatim ponovo oživiti, potom ćete Njemu biti vraćeni?!",""
36,2,29,"On je za vas sve na Zemlji stvorio, zatim se na nebo usmjerio, i kao sedam nebesa ga uredio; On sve dobro zna.",""
37,2,30,"A kada Gospodar tvoj reče melekima: ""Ja ću na Zemlji namjesnika –halifu postaviti!"", oni upitaše: ""Zar ćeš na Zemlji postaviti onoga koji će na njoj nered širiti i krv prolijevati?! A mi Tebe veličamo hvalom i kako Tebi dolikuje štujemo."" On reče: ""Ja, doista, znam ono što vi ne znate.""",""
38,2,31,"I pouči On Adema svim imenima, a onda ih predoči melekima i reče: ""Kažite Mi imena njihova, ako istinu govorite!""",""
39,2,32,"""Uzvišen si!"", rekoše oni, ""mi znamo samo ono čemu si nas Ti poučio! Zasigurno si Ti Sveznajući i Mudri.""",""
40,2,33,"""O Ademe"", reče On, ""saopći im njihova imena!"" I kada im on saopći imena njihova, Allah reče: ""Zar vam nisam rekao da samo Ja znam tajne nebesa i Zemlje i da samo Ja znam ono što pokazujete i što krijete?""",""
41,2,34,"A kad rekosmo melecima: ""Sedždu učinite Ademu!"", oni sedždu učiniše svi izuzev Iblisa."" On ne htjede i uzoholi se, a nevjernik bio je.",""
42,2,35,"I Mi rekosmo: ""O Ademe, nastanite se ti i supruga tvoja u džennetu i jedite u njemu gdje god želite, ali se ovome drvetu ne približujte da ne budete među zulumćarima.""",""
43,2,36,"Ali, šejtan ih navede na grijeh zbog tog drveta i izvede ih iz onoga u čemu su bili. ""Siđite!"","" rekosmo Mi. ""Jedni drugima bit ćete neprijatelji. Do određenog vremena na Zemlji je vaše boravište i neko vrijeme uživanje.""",""
44,2,37,"I Adem primi neke riječi od Gospodara svoga, pa mu On oprosti; On je, doista, mnogo pokajanje prima i milostiv je.",""
45,2,38,"Mi rekosmo: ""Silazite iz njega svi! Od Mene će vam Uputa dolaziti, a oni koj Uputu Moju budu slijedili, ničega se neće bojati, niti će za bilo čim tugovati.""",""
46,2,39,"A oni koji ne budu vjerovali i dokaze i ajete Naše budu poricali bit će stanovnici Vatre; u njoj će vječno ostati.",""
47,2,40,"O sinovi Israilovi, sjetite se blagodati Mojih koje sam vam podario, i ispunite zavjet koji ste Mi dali, pa ću i Ja ispuniti Svoj zavjet koji sam vam dao! I samo od Mene strahujte!",""
48,2,41,"Vjerujte u ono što sam objavio potvrđujući da je istinito ono što vi imate i ne budite prvi koji u to ne vjeruju! Ne prodajite riječi Moje za nešto što sasvim malo vrijedi i samo se Mene bojte!""",""
49,2,42,"I ne miješajte Istinu s neistinom, a i ne tajite Istinu, a vi je znate!",""
50,2,43,"Namaz obavljajte, zekat dajite i idite na ruku zajedno s onima koji na ruku idu!",""
51,2,44,"Zar od drugih tražite da dobro čine dok pri tome sebe zaboravljate, a vi Knjigu čitate? Zar se opametiti nećete!?",""
52,2,45,"Tražite sebi pomoć u strpljenju i namazu. To je doista teško, osim poniznima,",""
53,2,46,"onima koji su uvjereni da će se sresti sa Gospodarom svojim i da će se Njemu vratiti.",""
54,2,47,"O sinovi Israilovi! Sjetite se blagodati Mojih koje sam vam podario i što sam vas nad drugim svjetovima bio odlikovao.",""
55,2,48,"I bojte se Dana kada niko ni za koga ništa neće moći učiniti, kada se ničiji zagovor neće prihvaćati, kada se ni od koga otkup neće primati i kada nikome niko neće u pomoć priteći.",""
56,2,49,"I kada smo vas izbavili od faraonovih ljudi koji su vas najgorim mukama mučili: mušku vam djecu klali, a žensku u životu ostavljali – to vam je bilo veliko iskušenje od Gospodara vašeg.",""
57,2,50,"I kada smo vam more rastavili i vas izbavili, a faraonove ljude – vi ste to gledali – potopili.",""
58,2,51,"I kada s Musaom, četrdeset noći, susret odredismo, vi ste, nakon što on ode, zulum čineći, tele za obožavanje prihvatili.",""
59,2,52,"Potom smo vam, i poslije toga, oprostili, da biste zahvalni bili.",""
60,2,53,"I kada smo dali Musau Knjigu i ono što razdvaja Istinu od neistine, da biste se Pravim putem uputili.",""
61,2,54,"I kada je Musa rekao narodu svome: ""Narode moj, vi ste doista sebi zulum učinili prihvativši tele; zato se Stvoritelju svome pokajte i poubijajte se!"" To vam je kod vašeg Stvoritelja bolje, pa će vam pokajanje prihvatiti. Zaista je On stalni Primatelj pokajanja, Milostivi.""",""
62,2,55,"I kada ste vi rekli: ""Musa, mi ti nećemo vjerovati dok Allaha jasno ne vidimo!"", pa vas je strašna kazna obuzela, a vi ste gledali.",""
63,2,56,"Zatim smo vas poslije smrti vaše oživili, da biste zahvalni bili.",""
64,2,57,"I od oblaka smo vam hladovinu načinili i manu i prepelice vam slali. ""Jedite lijepa jela, kojima vas opskrbljujemo!"" Oni Nama nisu zulum nanijeli, nego su sami sebi zulum nanosili.",""
65,2,58,"I kada smo rekli: ""Uđite u ovaj grad i jedite što god hoćete! Na kapiju uđite klanjajući se i kažite: 'Oprost!', pa ćemo vam oprostiti grijehe vaše, a onima koji čine dobra djela dat ćemo i više.""",""
66,2,59,"Onda su oni koji su zulum učinili zamijenili riječi drugim koje im nisu rečene, pa smo Mi na one koji su zulum učinili s neba kaznu spustili, zato što su grešnici bili.",""
67,2,60,"I kada je Musa za narod svoj vodu molio, Mi smo rekli: ""Udari štapom svojim po kamenu!"" Iz njega je dvanaest vrela provrelo, i svi ljudi su znali iz kojeg će vrela piti. ""Jedite i pijte Allahovu opskrbu i ne činite zlo po Zemlji nered praveći.""",""
