"Translation Info:
#---------------------------
# Translation of the meanings of the Noble Qur'an
# Language: Kinyarwanda
# Translation ID: kinyarwanda_assoc
# Source: https://quranenc.com
# URL: https://quranenc.com/en/browse/kinyarwanda_assoc
# Last update: 2021-09-28 12:44:21 (v1.0.2-csv.1)
# Check for updates: https://quranenc.com/check/kinyarwanda_assoc/v1.0.2-csv.1
# PLEASE DON'T REMOVE THIS IMPORTANT INFORMATION!
#---------------------------",,,,
id,sura,aya,translation,footnotes
1,1,1,"1. Ku izina rya Allah[1], Nyirimpuhwe, Nyirimbabazi.","[1] Allah: Ni izina bwite ry’Imana."
2,1,2,"2. Ishimwe n’ikuzo byose bikwiye Allah, Nyagasani w’ibiremwa byose.",""
3,1,3,"3. Nyirimpuhwe, Nyirimbabazi",""
4,1,4,"4. Umwami w’ikirenga wo ku munsi w’imperuka.",""
5,1,5,"5. Ni wowe (wenyine) dusenga, kandi ni wowe (wenyine) twiyambaza",""
6,1,6,"6. Tuyobore inzira igororotse",""
7,1,7,"7. Inzira y’abo wahundagajeho inema, itari iy’abo warakariye cyangwa abayobye.",""
8,2,1,"1. Alif Laam Miim[2].","[2] Alif Laam Miim: Izi nyuguti eshatu ni zimwe mu zigize ururimi rw’icyarabu, ari na rwo Qur’an yahishuwemo. Allah yazitangije zimwe muri Sura za Qur’an, kugira ngo agaragaze ko Qur’an ari igitangaza kandi akaba ari we wenyine uzi ibisobanuro byazo."
9,2,2,"2. Icyo ni igitabo (Qur’an) kidashidikanywaho, kikaba umuyoboro ku batinyamana.",""
10,2,3,"3. Ba bandi bemera ibitagaragara (byahanuwe), bagahozaho iswala[3] (z’itegeko) kandi bagatanga mu byo twabahaye.","[3] Iswala ni inyito ya Kisilamu isobanura ibikorwa runaka biherekejwe n’imvugo runaka bitangirirwa n’ijambo Allah Akbar (Imana isumba byose), bigasozwa n’ijambo Assalaam Alaykum (amahoro y’Imana ababeho) ari byo twakwita Isengesho. Iswala ikaba irimo amoko abiri: Hari iz’itegeko ari zo Umuyisilamu ategetswe gukora ku munsi, n’izitari iz’itegeko z’umugereka twita (Sunat) zisobanurwa mu bitabo by’amategeko y’idini ya Isilamu (Fiq’hi)."
11,2,4,"4. Ni na bo bemera ibyo (wowe Muhamadi) wahishuriwe (Qur’an n’imigenzo y’Intumwa), bakanemera ibyahishuwe mbere yawe (ibitabo byahishuriwe Intumwa zakubanjirije), ndetse bakemera imperuka badashidikanya.",""
12,2,5,"5. Abo ni bo bari mu nzira iboneye yagenwe na Nyagasani wabo, kandi ni bo bakiranutsi.",""
13,2,6,"6. Mu by’ukuri (wowe Muhamadi), abahakanye wababurira utababurira, byose ni kimwe kuri bo, ntibazemera.",""
14,2,7,"7. Allah yadanangiye imitima yabo n’ukumva kwabo, ndetse no ku maso yabo (ahashyira) igikingirizo (ibyo byose bituma batemera ukuri), kandi bazahanishwa ibihano bihambaye.",""
15,2,8,"8. No mu bantu hari abavuga bati “Twemeye Allah n’umunsi w’imperuka”; nyamara mu by’ukuri atari abemera.",""
16,2,9,"9. (Bibwira ko) baba babeshya Allah n’abemera, nyamara baba bibeshya ubwabo ariko ntibabyiyumvisha.",""
17,2,10,"10. Mu mitima yabo harimo uburwayi (bwo gushidikanya n’uburyarya), bityo Allah yarabubongereye; kandi bazahanishwa ibihano bibabaza kubera ko barangwaga no kubeshya.",""
18,2,11,"11. N’iyo babwiwe bati “Ntimugakore ubwangizi ku isi”, baravuga bati “Ahubwo ni twe dukora ibitunganye.”",""
19,2,12,"12. Mu by’ukuri, ni bo bangizi ariko ntibabyiyumvisha.",""
