"Translation Info:
#---------------------------
# Translation of the meanings of the Noble Qur'an
# Language: Oromo
# Translation ID: oromo_ababor
# Source: https://quranenc.com
# URL: https://quranenc.com/en/browse/oromo_ababor
# Last update: 2017-03-19 (v1.0.0-csv.1)
# Check for updates: https://quranenc.com/check/oromo_ababor/v1.0.0-csv.1
# PLEASE DON'T REMOVE THIS IMPORTANT INFORMATION!
#---------------------------",,,,
id,sura,aya,translation,footnotes
1,1,1,"Maqaa Rabbii Akkaan Mararfataa Akkaan Rahmata Godhaa Ta’eetiin",""
2,1,2,"Faaruun hundi kan Rabbii Gooftaa aalamaati",""
3,1,3,"Akkaan mararfataa akkaan rahmata godhaa.",""
4,1,4,"Abbaa (mootii) guyyaa murtii",""
5,1,5,"Si qofa gabbarra; Si qofa gargaarsifannas",""
6,1,6,"Daandii sirrii nu qajeelchi.",""
7,1,7,"Karaa warra isaan irratti tola ooltee; kan isaan irratti hin dallanaminiifi hin jallatinii (nu qajeelchi)",""
8,2,1,"Alif, Laam, Miim",""
9,2,2,"Kun kitaaba [Rabbiin biraa ta’uu isaa ilaalchisee] mamiin isa keessa hin jirreedha;warra Rabbiin sodaataniif qajeelfama",""
10,2,3,"Isaan ""Ghaybitti"" (wantoota miiraan hin dhaqqabamnetti) amanan, kan salaata sirnaan salaataniifi waan Nuti isaaniif arjoomne irraa kennaniidha",""
11,2,4,"Ammas isaan warra waan gara keetti buufameefi waan si dura buufametti amananiifi isaan Aakhiraa dhugoomsaniidha.",""
12,2,5,"Warri sun qajeelfama Rabbii isaanii biraa ta’e irra jiruAmmas warri sun isaantu milkaa’oodha",""
13,2,6,"Dhugumatti, isaan kafaran isaan akeekkachiiftes isaan akeekkachiisuu dhiiftes [lamaanuu] isaan irratti wal qixa; hin amananu.",""
14,2,7,"Rabbiin onnee isaaniitiifi dhageettii isaanii irratti cufe; agartuu isaanii irras haguuggiitu jiraIsaaniif adabbii guddaatu jira.",""
15,2,8,"Namoota irraa nama odoo hin amanin ""Rabbiifi Guyyaa Aakhiraatti amanne"" jedhutu jira.",""
16,2,9,"Rabbiifi warra amanan gowwoomsan [isaanitti fakkaata]; hin beekan malee lubbuu isaanii malee homaa hin gowwoomsanu.",""
