"Translation Info:
#---------------------------
# Translation of the meanings of the Noble Qur'an
# Language: Turkish
# Translation ID: turkish_rwwad
# Source: https://quranenc.com
# URL: https://quranenc.com/en/browse/turkish_rwwad
# Last update: 2018-10-16 (v1.0.0-csv.1)
# Check for updates: https://quranenc.com/check/turkish_rwwad/v1.0.0-csv.1
# PLEASE DON'T REMOVE THIS IMPORTANT INFORMATION!
#---------------------------",,,,
id,sura,aya,translation,footnotes
1,1,1,"Bismillâhirrahmânirrahîm",""
2,1,2,"Hamd, alemlerin Rabbi olan Allah'a mahsustur.",""
3,1,3,"O Rahmân'dır, Rahîm'dir.",""
4,1,4,"Din/Hesap gününün sahibidir.",""
5,1,5,"Yalnız sana ibadet eder ve yalnız senden yardım dileriz.",""
6,1,6,"Bizi doğru yola ilet.",""
7,1,7,"Nimet verdiğin kimselerin yoluna. Gazaba uğrayanların ve sapanların değil.",""
8,2,1,"Elif, Lâm, Mîm",""
9,2,2,"Hiç kuşkusuz bu kitap, takva sahipleri için yol göstericidir.",""
10,2,3,"Onlar gaybe inanırlar, namazı dosdoğru kılarlar, kendilerine rızık olarak verdiğimizden de Allah yolunda harcarlar.",""
11,2,4,"Onlar, sana indirilene, senden önce indirilenlere ve ahirete de kesin olarak iman ederler.",""
12,2,5,"İşte onlar Rableri katından bir hidayet üzeredir ve kurtuluşa erecek olanlar onlardır.",""
13,2,6,"Kâfirlere gelince, onları uyarsan da uyarmasan da birdir, iman etmezler.",""
14,2,7,"Allah, onların kalplerini ve kulaklarını mühürlemiştir, gözlerinde de perde vardır. Onlar için büyük bir azap vardır.",""
15,2,8,"İnsanlardan bir kısmı da iman etmediği halde; ""Allah’a ve ahiret gününe iman ettik"" derler.",""
16,2,9,"Allah’ı ve mü’minleri aldatmaya çalışırlar. Oysa sadece kendilerini aldatırlar da bunun farkında değillerdir.",""
17,2,10,"Onların kalplerinde hastalık vardır. Allah da onların hastalığını artırmıştır. Söyledikleri yalana karşılık da onlara elem dolu bir azap vardır.",""
18,2,11,"Onlara: ""Yeryüzünde bozgunculuk yapmayın!"" dendiği zaman; ""Bizler sadece ıslah edicileriz."" derler.",""
19,2,12,"İyi bilin ki, onlar bozguncuların ta kendileridir. Fakat farkında değillerdir.",""
20,2,13,"Onlara: ""Siz de insanların iman ettiği gibi iman edin!"" denilince; ""Akılsızların iman ettiği gibi mi iman edelim?"" derler. Dikkat edin! Asıl akılsızlar kendileridir, fakat bilmezler.",""
21,2,14,"İman edenlere rastladıkları zaman; ""Biz de iman ettik"", derler. Şeytanları ile başbaşa kalınca da: ""Biz, sizin yanınızdayız. Onlarla sadece alay ediyoruz."" derler.",""
22,2,15,"Allah da onlarla alay eder ve onları taşkınlıkları içinde şaşkın bir halde bırakır.",""
23,2,16,"İşte onlar, hidayete karşılık sapıklığı satın almış kimselerdir. Bu yüzden alışverişleri onlara kâr getirmemiş ve (sonuçta) doğru yolu bulamamışlardır.",""
24,2,17,"Onların hali, (geceleyin) ateş yakan kimsenin haline benzer. Ateş etrafını aydınlattığı sırada Allah, onun ışığını giderir ve onları karanlıklar içerisinde görmez bir halde bırakır.",""
25,2,18,"Onlar sağır, dilsiz ve körlerdir. Onlar asla dönmezler.",""
26,2,19,"Yahut onlar gökten boşalan bir yağmura tutulmuş kimselere benzerler. O yağmurda karanlıklar, gök gürültüsü ve şimşek vardır. Onlar yıldırımın şiddetinden ve ölüm korkusundan dolayı parmaklarıyla kulaklarını tıkayıp, kapatırlar. Şüphesiz Allah, kâfirleri çepeçevre kuşatmıştır.",""
27,2,20,"Şimşek onların gözlerini aniden alacakmış gibi olur. Şimşek parıldadığında yürürler, ortalık birden kararınca da orada dikilip kalıverirler. Eğer Allah isteseydi onları sağır ve kör ederdi. Allah’ın her şeye gücü yeter.",""
28,2,21,"Ey insanlar! Sizi ve sizden öncekileri yaratan Rabbinize ibadet ediniz ki, böylece takva sahibi olur, sakınırsınız.",""
29,2,22,"O, sizin için yeryüzünü döşedi ve gökyüzünü bina etti. Gökten su indirip onunla size rızık olsun diye ürünler yetiştirdi. Öyleyse, bunları bile bile Allah’a ortak koşmayın.",""
