"Translation Info:
#---------------------------
# Translation of the meanings of the Noble Qur'an
# Language: Uyghur
# Translation ID: uyghur_saleh
# Source: https://quranenc.com
# URL: https://quranenc.com/en/browse/uyghur_saleh
# Last update: 2018-02-20 (v1.0.0-csv.1)
# Check for updates: https://quranenc.com/check/uyghur_saleh/v1.0.0-csv.1
# PLEASE DON'T REMOVE THIS IMPORTANT INFORMATION!
#---------------------------",,,,
id,sura,aya,translation,footnotes
1,1,1,"ناھايىتى شەپقەتلىك ۋە مېھرىبان ئاللاھنىڭ ئىسمى بىلەن باشلايمەن[1].",""
2,1,2,"جىمى ھەمدۇ سانا ئالەملەرنىڭ پەرۋەردىگارى ئاللاھقا خاستۇر[2].",""
3,1,3,"ئاللاھ ناھايىتى شەپقەتلىك ۋە مېھرىباندۇر[3].",""
4,1,4,"قىيامەت كۈنىنىڭ ئىگىسىدۇر[4].",""
5,1,5,"(رەببىمىز) ساڭىلا ئىبادەت قىلىمىز ۋە سەندىنلا ياردەم تىلەيمىز[5].",""
6,1,6,"بىزنى توغرا يولغا باشلىغىن[6].",""
7,1,7,"غەزىپىڭگە يولۇققانلارنىڭ ۋە ئازغانلارنىڭ يولىغا ئەمەس، سەن ئىنئام قىلغانلارنىڭ يولىغا (باشلىغىن)[7].",""
8,2,1,"ئەلىف، لام، مىم[1].",""
9,2,2,"بۇ كىتابتا (يەنى قۇرئاندا) ھېچ شەك يوق، (ئۇ) تەقۋادارلارغا يېتەكچىدۇر[2].",""
10,2,3,"ئۇلار غەيبكە ئىشىنىدۇ، نامازنى ئادا قىلىدۇ، ئۇلار بىز بەرگەن مال ـ مۈلۈكتىن (ئاللاھ يولىغا) سەرپ قىلىدۇ[3].",""
11,2,4,"ئۇلار ساڭا نازىل قىلىنغان كىتابقا، سەندىن ئىلگىرىكى (پەيغەمبەرلەرگە) نازىل قىلىنغان كىتابلارغا ئىشىنىدۇ ۋە ئاخىرەتكە شەكسىز ئىشىنىدۇ[4].",""
12,2,5,"ئەنە شۇلار پەرۋەردىگارىنىڭ توغرا يولىدا بولغۇچىلاردۇر، ئەنە شۇلار بەختكە ئېرىشكۈچىلەردۇر[5].",""
13,2,6,"شۈبھىسىزكى، كاپىرلارنى ئاگاھلاندۇرامسەن، ئاگاھلاندۇرمامسەن، بەرىبىر، ئۇلار ئىمان ئېيتمايدۇ[6].",""
14,2,7,"ئاللاھ ئۇلارنىڭ دىللىرىنى ۋە قۇلاقلىرىنى پېچەتلىۋەتكەن (ئىماننىڭ نۇرى كىرمەيدۇ)، ئۇلارنىڭ كۆزلىرى پەردىلەنگەن (ھەقىقەتنى كۆرمەيدۇ)، ئۇلار (ئاخىرەتتە) قاتتىق ئازابقا دۇچار بولىدۇ[7].",""
15,2,8,"كىشىلەر ئارىسىدا ئاللاھقا ۋە ئاخىرەت كۈنىگە ئىشەندۇق دېگۈچىلەر بار، ھەقىقەتتە ئۇلار ئىشەنمەيدۇ (يەنى ئاغزىدا ئىشەندۇق دېگىنى بىلەن، كۆڭلىدە ئىشەنمەيدۇ)[8].",""
16,2,9,"ئۇلار ئاللاھنى ۋە مۆمىنلەرنى ئالدىماقچى بولىدۇ، ھەقىقەتتە ئۇلار تۇيماستىن ئۆزلىرىنىلا ئالدايدۇ[9].",""
17,2,10,"ئۇلارنىڭ دىللىرىدا كېسەل (يەنى مۇناپىقلىق ۋە شەكلىنىش) بار، ئاللاھ ئۇلارنىڭ كېسىلىنى كۈچەيتىۋەتتى؛ يالغان سۆزلىگەنلىكلىرى (يەنى يالغاندىن ئىماننى دەۋا قىلغانلىقلىرى ۋە ئاللاھنىڭ ئايەتلىرىنى مەسخىرە قىلغانلىقلىرى) ئۈچۈن ئۇلار قاتتىق ئازابقا دۇچار بولىدۇ[10].",""
18,2,11,"ئۇلارغا: «يەر يۈزىدە بۇزغۇنچىلىق قىلماڭلار» دېيىلسە، «بىز ئىسلاھ قىلغۇچىلارمىز» دەيدۇ[11].",""
19,2,12,"بىلىڭلاركى، ئۇلار ھەقىقەتەن بۇزغۇنچىلاردۇر، لېكىن بۇنى ئۆزلىرى تۇيمايدۇ[12].",""
20,2,13,"ئۇلارغا (يەنى مۇناپىقلارغا): «ئىمان ئېيتقان كىشىلەردەك (چىن كۆڭلۈڭلار بىلەن) ئىمان ئېيتىڭلار» دېيىلسە، «بىز ئىمان ئېيتقان ئەخمەقلەرگە ئوخشاش ئىمان ئېيتامدۇق؟» دەيدۇ. بىلىڭلاركى، ئۇلارنىڭ ئۆزلىرىلا ئەخمەقلەر، لېكىن (بۇنى) ئۇلار تۇيمايدۇ[13].",""
21,2,14,"ئۇلار مۆمىنلەر بىلەن ئۇچراشقىنىدا: «بىز ئىمان ئېيتتۇق» دېيىشىدۇ، شاياتۇنلىرى (يەنى مۇناپىق كاتتىباشلىرى) بىلەن يالغۇز جايدا تېپىشقاندا بولسا: «بىز ھەقىقەتەن سىلەر بىلەن بىللىمىز، پەقەت (تىلىمىزنىڭ ئۇچىدىلا ئىمان ئېيتىپ قويۇپ) مۆمىنلەرنى مەسخىرە قىلىمىز» دەيدۇ[14].",""
22,2,15,"مەسخىرە قىلغانلىقلىرى ئۈچۈن ئاللاھ ئۇلارنى جازالايدۇ، ئۇلارنى گۇمراھلىقلىرىدا قويۇپ بېرىدۇكى، ئۇلار تېڭىرقىغان ھالدا يۈرۈشىدۇ[15].",""
23,2,16,"ئەنە شۇلار ھىدايەتنى بېرىپ، گۇمراھلىقنى ئالدى. شۇڭا سودىسى پايدا كەلتۈرمىدى، ئۇلار ھىدايەت تاپقۇچى بولمىدى[16].",""
24,2,17,"ئۇلار گوياكى (كېچىدە ئىسسىنىش ۋە يورۇقلۇق ئېلىش ئۈچۈن) ئوت ياققان كىشىلەرگە ئوخشايدۇ، ئوت ئۇلارنىڭ ئەتراپىنى يورۇتقاندا، ئاللاھ ئۇلارنىڭ (ئوتىنىڭ) يورۇقىنى ئۆچۈرۈۋەتتى، ئۇلارنى (ئەتراپىدىكى ھېچ نەرسىنى) كۆرەلمەيدىغان قاراڭغۇلۇقتا قالدۇردى[17].",""
25,2,18,"ئۇلار گاستۇر (يەنى گاس ئاڭلىمىغاندەك، ياخشىلىقنى ئاڭلىمايدۇ)، گاچىدۇر (يەنى گاچا سۆزلىيەلمىگەندەك، ياخشى ئىشنى سۆزلىيەلمەيدۇ)، كوردۇر (يەنى كور بولۇپ قالغاندەك، توغرا يولنى كۆرمەيدۇ)، شۇڭا ئۇلار (گۇمراھلىقتىن) قايتمايدۇ[18].",""
26,2,19,"ياكى ئۇلار زۇلمەتلىك، گۈلدۈرمامىلىق ۋە چاقماقلىق قاتتىق يامغۇردا قالغان، گويا چاقماق سوقۇۋېتىپ ئۆلۈپ كېتىشتىن قورقۇپ قۇلاقلىرىنى بارماقلىرى بىلەن ئېتىۋالغان كىشىلەرگە ئوخشايدۇ. ئاللاھ كاپىرلارنى (ئۇلارنىڭ ھەممە ئەھۋالىنى) بىلىپ تۇرغۇچىدۇر[19].",""
27,2,20,"چاقماق چاققاندا ئۇلار كۆز نۇرىدىن ئايرىلىپ قالغىلى تاس قالىدۇ، ئۇلار چاقماق يورۇقىدا مېڭىۋالىدۇ؛ قاراڭغۇلۇق قاپلىغاندا تۇرۇپ قالىدۇ. ئاللاھ خالىسا ئىدى، ئۇلارنى ئاڭلاش ۋە كۆرۈش قۇۋۋىتىدىن ئەلۋەتتە مەھرۇم قىلاتتى. ئاللاھ ھەقىقەتەن ھەر نەرسىگە قادىردۇر[20].",""
28,2,21,"ئى ئىنسانلار! تەقۋادارلاردىن بولۇشۇڭلار ئۈچۈن، سىلەرنى ۋە سىلەردىن بۇرۇنقىلار (يەنى ئۆتكەنكى ئۈممەتلەر)نى ياراتقان پەرۋەردىگارىڭلارغا ئىبادەت قىلىڭلار[21].",""
29,2,22,"ئاللاھ سىلەرگە زېمىننى تۆشەك ۋە ئاسماننى بىنا (يەنى يۇلتۇزلارنىڭ زىچلىقىدا بىناغا ئوخشاش) قىلىپ بەردى، بۇلۇتتىن يامغۇر ياغدۇرۇپ بەردى، سىلەرگە رىزىق بولۇش ئۈچۈن يامغۇر ئارقىلىق تۈرلۈك مېۋىلەرنى ئۆستۈرۈپ بەردى. شۇڭا ئاللاھقا شېرىك كەلتۈرمەڭلار، ھالبۇكى، سىلەر (ئاللاھنىڭ شېرىكى يوقلۇقىنى) بىلىپ تۇرىسىلەر[22].",""
30,2,23,"بەندىمىز (مۇھەممەد) گە بىز نازىل قىلغان قۇرئاندىن شەكلەنسەڭلار، قۇرئانغا ئوخشاش بىرەر سۈرىنى مەيدانغا چىقىرىپ بېقىڭلار (قۇرئانغا قارشى تۇرۇشتا) ئاللاھتىن باشقا ياردەمچىڭلارنىڭ ھەممىسىنى (ياردەمگە) چاقىرىڭلار، (قۇرئان ئىنساننىڭ سۆزى دېگەن گېپىڭلاردا) راستچىل بولساڭلار[23].",""
31,2,24,"ئەگەر مۇنداق قىلالمىساڭلار - ھەرگىزغۇ قىلالمايسىلەر - كاپىرلار ئۈچۈن تەييارلانغان، ئىنسان ۋە تاشلار يېقىلغۇ بولىدىغان دوزاختىن ساقلىنىڭلار[24].",""
32,2,25,"(ئى مۇھەممەد!) ئىمان ئېيتقان ۋە ياخشى ئەمەللەرنى قىلغانلارغا ئۇلارنىڭ ئاستىدىن ئۆستەڭلەر ئېقىپ تۇرىدىغان جەننەتلەرگە كىرىدىغانلىقى بىلەن خۇشخەۋەر بەرگىن. ئۇلار جەننەتنىڭ بىرەر مېۋىسىدىن رىزىقلاندۇرۇلغان چاغدا: «بۇنىڭ بىلەن بۇرۇن (دۇنيادىمۇ) رىزىقلاندۇرۇلغان ئىدۇق» دەيدۇ. ئۇلارغا كۆرۈنۈشى دۇنيانىڭ مېۋىلىرىگە ئوخشايدىغان، تەمى ئوخشىمايدىغان مېۋىلەر بېرىلىدۇ. جەننەتلەردە ئۇلارغا پاك جۈپتىلەر بېرىلىدۇ، ئۇلار جەننەتلەردە مەڭگۈ قالىدۇ[25].",""
33,2,26,"ئاللاھ ھەقىقەتەن پاشا ۋە ئۇنىڭدىنمۇ كىچىك نەرسىلەرنى مىسال قىلىپ كەلتۈرۈشتىن تارتىنىپ قالمايدۇ، مۆمىنلەر ئۇنى پەرۋەردىگارى تەرىپىدىن نازىل بولغان ھەقىقەت دەپ بىلىدۇ؛ كاپىرلار بولسا: «ئاللاھ بۇ نەرسىلەرنى مىسال قىلىپ كەلتۈرۈشتىن نېمىنى ئىرادە قىلىدۇ؟» دەيدۇ. ئاللاھ بۇ مىسال بىلەن نۇرغۇن كىشىلەرنى (ئۇنى ئىنكار قىلغانلىقتىن) ئازدۇرىدۇ ۋە نۇرغۇن كىشىلەرنى (ئۇنى تەستىقلىغانلىقتىن) ھىدايەت قىلىدۇ؛ شۇ ئارقىلىق پەقەت پاسىقلارنىلا ئازدۇرىدۇ[26].",""
34,2,27,"پاسىقلار ئاللاھ ۋەدە ئالغاندىن كېيىن بەرگەن ۋەدىسىنى بۇزىدۇ. ئاللاھ ئۇلاشقا بۇيرۇغان شەيئىنى ئۈزۈپ قويىدۇ (يەنى سىلە ـ رەھىم قىلمايدۇ)، يەر يۈزىدە بۇزۇقچىلىق قىلىدۇ؛ ئەنە شۇلار زىيان تارتقۇچىلاردۇر[27].",""
35,2,28,"ئاللاھنى قانداقمۇ ئىنكار قىلىسىلەركى، جانسىز ئىدىڭلار، ئاللاھ سىلەرگە جان بەردى (يەنى ئاتاڭلارنىڭ پۇشتىدا، ئاناڭلارنىڭ قارنىدا ئابىمەنىي ئىدىڭلار)، كېيىن (ئەجىلىڭلار توشقاندا) ئاللاھ جېنىڭلارنى ئالىدۇ، ئاندىن كېيىن تىرىلدۈرىدۇ، ئاندىن كېيىن ئاللاھنىڭ دەرگاھىغا (ھېساب بېرىش ئۈچۈن) قايتۇرۇلىسىلەر[28].",""
36,2,29,"ئاللاھ يەر زېمىندىكى ھەممە نەرسىنى سىلەرنىڭ (پايدىلىنىشىڭلار) ئۈچۈن ياراتتى، ئاندىن ئاسماننى يارىتىشقا يۈزلىنىپ، ئۇنى قۇسۇرسىز يەتتە ئاسمان قىلىپ تاماملىدى. ئاللاھ ھەرنەرسىنى بىلگۈچىدۇر[29].",""
37,2,30,"ئۆز ۋاقتىدا پەرۋەردىگارىڭ پەرىشتىلەرگە: «مەن يەر يۈزىدە خەلىپە (يەنى ئورۇنباسار) يارىتىمەن» دېدى. پەرىشتىلەر: «يەر يۈزىدە بۇزۇقچىلىق قىلىدىغان، قان تۆكىدىغان (شەخسنى) خەلىپە قىلامسەن؟ ھالبۇكى بىز سېنى پاك دەپ مەدھىيەلەيمىز، مۇقەددەس دەپ مەدھىيەلەيمىز» دېدى. ئاللاھ: «مەن ھەقىقەتەن سىلەر بىلمەيدىغان نەرسىلەرنى بىلىمەن» دېدى[30].",""
38,2,31,"ئاللاھ پۈتۈن شەيئىلەرنىڭ ناملىرىنى ئادەمگە ئۆگەتتى، ئاندىن ئۇلارنى پەرىشتىلەرگە كۆرسىتىپ: «(خەلىپە بولۇشقا ئادەمگە قارىغاندا بىز ھەقلىق دەيدىغان قارىشىڭلاردا) راستچىل بولساڭلار، بۇ شەيئىلەرنىڭ ناملىرىنى ماڭا ئېيتىپ بېرىڭلار» دېدى[31].",""
39,2,32,"پەرىشتىلەر: «سېنى (پۈتۈن كەمچىلىكلەردىن) پاك دەپ تونۇيمىز. بىز سەن بىلدۈرگەندىن باشقىنى بىلمەيمىز، ھەقىقەتەن سەن ھەممىنى بىلگۈچىدۇرسەن، ھېكمەت بىلەن ئىش قىلغۇچىدۇرسەن» دېدى[32].",""
40,2,33,"ئاللاھ: «ئى ئادەم! ئۇلارغا بۇ نەرسىلەرنىڭ ناملىرىنى ئېيتىپ بەرگىن» دېدى. ئادەم ئۇلارغا بۇ نەرسىلەرنىڭ ناملىرىنى ئېيتىپ بەرگەن چاغدا، ئاللاھ: «مەن سىلەرگە ئاسمانلاردىكى ۋە زېمىندىكى غەيبلەرنى ھەقىقەتەن بىلىپ تۇرىمەن، ئاشكارا ۋە يوشۇرۇن ئىشىڭلارنى بىلىپ تۇرىمەن، دېمىگەنمىدىم» دېدى[33].",""
41,2,34,"ئۆز ۋاقتىدا پەرىشتىلەرگە: «ئادەمگە سەجدە قىلىڭلار» دېدۇق، ئىبلىستىن باشقا ھەممىسى سەجدە قىلدى، ئىبلىس (سەجدە قىلىشتىن) باش تارتتى، تەكەببۇرلۇق قىلدى، ئۇ كاپىرلاردىن بولۇپ كەتتى[34].",""
42,2,35,"بىز ئادەمگە: «ئى ئادەم! سەن خوتۇنۇڭ (ھەۋۋا) بىلەن جەننەتتە تۇرۇڭلار! جەننەتتىكى نەرسىلەردىن خالىغىنىڭلارچە كەڭتاشا يەپ ـ ئىچىڭلار، بۇ دەرەخكە يېقىنلاشماڭلار (يەنى مېۋىسىدىن يېمەڭلار)، بولمىسا (ئۆزۈڭلارغا) زۇلۇم قىلغۇچىلاردىن بولۇپ قالىسىلەر» دېدۇق[35].",""
43,2,36,"شەيتان ئۇ ئىككىسىنى تېيىلدۇردى (يەنى مەنئى قىلىنغان دەرەخنىڭ مېۋىسىنى يېگۈزۈپ خاتالاشتۇردى)، تۇرۇۋاتقان جەننەتتىن چىقاردى. (ئادەمگە، ھەۋۋاغا، ئىبلىسقا) «بىر ـ بىرىڭلار بىلەن ئۆچەكەشكەن ھالدا (جەننەتتىن يەر يۈزىگە) چۈشۈڭلار، يەر يۈزىدە ۋاقىتلىق (ئەجىلىڭلار توشقۇچە) يەرلىشىڭلار ۋە (نېمەتلەردىن) بەھرىمەن بولۇڭلار» دېدۇق[36].",""
44,2,37,"ئادەم پەرۋەردىگارىدىن بىرقانچە سۆز تەلىم ئالدى (يەنى گۇناھىنىڭ كەچۈرۈلۈشى ئۈچۈن ئوقۇيدىغان دۇئا ئۇنىڭغا ئىلھام ئارقىلىق بىلدۈرۈلدى)، ئاللاھ ئۇنىڭ تەۋبىسىنى قوبۇل قىلدى. ئاللاھ ھەقىقەتەن تەۋبىنى بەكمۇ قوبۇل قىلغۇچىدۇر، (بەندىلىرىگە) ناھايىتى مېھرىباندۇر[37].",""
45,2,38,"(ئۇلارغا) «ھەممىڭلار بۇ يەردىن چۈشۈڭلار، سىلەرگە مەن تەرەپتىن بىر يول كۆرسەتكۈچى (يەنى پەيغەمبەر) كېلىدۇ، يولۇمغا ئەگەشكەنلەرگە (ئاخىرەتتە) قورقۇنچ ۋە غەم ـ قايغۇ بولمايدۇ» دېدۇق[38].",""
46,2,39,"كاپىرلار ۋە بىزنىڭ ئايەتلىرىمىزنى ئىنكار قىلغانلار ئەھلى دوزاختۇر، ئۇلار دوزاختا مەڭگۈ قالىدۇ[39].",""
47,2,40,"ئى ئىسرائىل ئەۋلادى! مېنىڭ سىلەرگە بەرگەن نېمىتىمنى ياد ئېتىڭلار، ماڭا بەرگەن (ئىمان ئېيتىش ۋە تائەت ـ ئىبادەت قىلىش ھەققىدىكى) ۋەدەڭلارغا ۋاپا قىلىڭلار، مەنمۇ سىلەرگە قىلغان (ساۋاب بېرىش ھەققىدىكى) ۋەدەمگە ۋاپا قىلىمەن، مەندىنلا قورقۇڭلار[40].",""
48,2,41,"مەن نازىل قىلغان تەۋراتنى تەستىق قىلغۇچى قۇرئانغا ئىمان كەلتۈرۈڭلار، قۇرئاننى بىرىنچى بولۇپ ئىنكار قىلغۇچى بولماڭلار، ئايەتلىرىمنى ئەرزان باھادا سېتىۋەتمەڭلار، ماڭىلا تەقۋادارلىق قىلىڭلار[41].",""
49,2,42,"ھەقنى باتىلغا (يەنى ئاللاھ نازىل قىلغان ھەقىقەتنى ئۆزەڭلار ئويدۇرۇپ چىققان نەرسىگە) ئارىلاشتۇرماڭلار ، ھەقنى بىلىپ تۇرۇپ يوشۇرماڭلار[42].",""
