"Translation Info:
#---------------------------
# Translation of the meanings of the Noble Qur'an
# Language: Yoruba
# Translation ID: yoruba_mikail
# Source: https://quranenc.com
# URL: https://quranenc.com/en/browse/yoruba_mikail
# Last update: 2021-11-16 10:08:12 (v1.0.6-csv.1)
# Check for updates: https://quranenc.com/check/yoruba_mikail/v1.0.6-csv.1
# PLEASE DON'T REMOVE THIS IMPORTANT INFORMATION!
#---------------------------",,,,
id,sura,aya,translation,footnotes
1,1,1,"Ní orúkọ Allāhu, Àjọkẹ́-ayé, Àṣàkẹ́-ọ̀run.¹","1. Sūratun Mọkkiyyah túmọ̀ sí sūrah tí ó sọ̀kalẹ̀ ṣíwájú Hijrah. Bákan náà, sūratun Mọdaniyyah túmọ̀ sí sūrah tí ó sọ̀kalẹ̀ lẹ́yìn Hijrah. Ìyẹn ni pé, Hijrah tí àwọn mùsùlùmí ṣe láti ìlú Mọkkah Alápọ̀n-ọ́nlé sí ìlú Mọdīnah Onímọ̀ọ́lẹ̀ ni wọ́n fi pín gbogbo sūrah al-Ƙur’ān alápọ̀n-ọ́nlé sábẹ́ sūratun Mọkkiyyah àti sūratun Mọdaniyyah. Ìwọ̀nyí ni àwọn orúkọ sūrah yìí: (1) Fātihatul-kitāb “Sūrah Ìbẹ̀rẹ̀ Tírà (ìyẹn ní ti àkọsílẹ̀, kì í ṣe ní ti ìsọ̀kalẹ̀.” (2) ’Ummul-Ƙur’ān “Ìpìlẹ̀ al-Ƙur’ān”, (3) ’Ummul-kitāb “Ìpìlẹ̀ Tírà”, (4) as-Sab‘u al-mọthāniy “sūrah alāyah méje tí ó kún fún ẹyìn Allāhu” (Wọ́n ṣí “bismillāh ar-rahmọ̄n ar-rọhīm” mọ́ ọn.)“, (5) al-Ƙur’ān al-‘aṭḥīm “N̄ǹkan Kíkà ńlá”, (6) al-hamd “ẹyìn”, (7) as-sọlāt “ìrun”, (8) aṣ-ṣifā’ “ìwòsàn” àti (9) ar-ruƙyah “àdúà pàjáwìrì”."
2,1,2,"Gbogbo ẹyìn¹ ń jẹ́ ti Allāhu, Olúwa² gbogbo ẹ̀dá,","1. Nínú èdè Lárúbáwá, “hamd” yàtọ̀ sí “ṣukr” àmọ́ ìtúmọ̀ ìkíní kejì fẹ́ súnmọ́ ara wọn. 
 Ìtúmọ̀ “hamd” ni “ẹyìn” èyí tí a sọ jáde ní ẹnu pẹ̀lú ìfẹ́ àti gbígbé-títóbi fún ẹni tí ẹyìn tọ́ sí nítorí pé ẹni náà jẹ́ ẹni tí ó pé tán pátápátá tí kò kù sí ibì kan kan níbi pàápàá rẹ̀, àwọn ìròyìn rẹ̀ àti àwọn ìṣe rẹ̀. Kò sì sí ẹni tí ó pé tán pátápátá bí kò ṣe Allāhu - Ọba tó ga jùlọ -. Nítorí náà, Allāhu nìkan ṣoṣo ni a gbọ́dọ̀ máa yìn gẹ́gẹ́ bí ó ṣe jẹ́ pé, Òun nìkan náà ni a gbọ́dọ̀ máa jọ́sìn fún ní ọ̀nà òdodo. Nígbà tí a bá yin ẹ̀dá ẹgbẹ́ wa, “mọdh” ni wọ́n ń pe ìyẹn nínú èdè Lárúbáwá. Kò sì pọn dandan kí ẹyìn náà dénú, ó lè má kọjá orí ahọ́n, gẹ́gẹ́ bí ẹyìn àwọn eléwì. 
 Ní ti “ṣukr”, ìtúmọ̀ rẹ̀ ni mímọ rírì oore àti sísọ ọ́ jáde. Ẹni tí ó bá mọ rírì oore kan, tí ó sì sọ ọ́ jáde ló dúpẹ́ oore náà fún ẹni tí ó ṣe oore náà fún un. Bí Allāhu bá ṣe oore kan fún mi, mo lè sọ pé, “’aṣkuru-llāh / ṣukrān lillāh” (mo dúpẹ́ fún Allāhu). Bí ìwọ bá ṣoore kan fún mi, mo lè sọ pé, “ ’aṣkuruk / ṣukrān lak (mo dúpẹ́ fún ọ). Paban̄barì rẹ̀ ni pé kí n̄g sọ fún ọ pé, “jazākumullāhu kọerā” (Allāhu á san yín ní ẹ̀san rere.). Kí ìwọ náà yára fọ èsì pé, “ wa ’antum fajazākumullāhu kọerā” (Àti ẹ̀yin náà, Allāhu á san yín ní ẹ̀san rere.) Èsì kọ́ ni “wa’iyyākum” 
 Àmọ́ a kò gbọ́dọ̀ lo “hamd” fún ẹ̀dá kan lẹ́yìn Allāhu - Ọba Ẹlẹ́yìn. Ẹni tí ó bá wá sọ pé, “alhamdu lillāh” Ó ti kó ẹyìn àti ọpẹ́ sínú. Nítorí náà, kí ẹ̀dá máa ṣe “alhamdu lillāh” ní àsìkò tí a bá rí oore kan gbà láti ọ̀dọ̀ Allāhu àti ní àsìkò tí a kò ì rí oore náà gbá nítorí pé, oore Allāhu lọ́dọ̀ wa pọ̀ láì ní òǹkà. 
 Ìdí nìyí tí ó fi jẹ́ pé, nígbà tí ìdùnnú kan bá ṣẹlẹ̀ sí Ànábì - kí ìkẹ́ àti ọlà Allāhu máa bá a -, ó máa sọ pé “ alhamdu lillāh allathī bi ni‘mọtihi tatimmu-ssọ̄lihāt” (gbogbo ẹyìn ń jẹ́ ti Allāhu, ẹni tí àwọn ohun rere ń pé (ń kẹ́sẹjá) pẹ̀lú ìdẹ̀ra Rẹ̀. Tí ìdà kejì bá sì ṣẹlẹ̀, ó máa sọ pé, “alhamdu lillāhi ‘alā kulli hāl” (gbogbo ẹyìn ń jẹ́ ti Allāhu lórí gbogbo ipò (tí ẹ̀dá bá wà).
 2. Ọ̀rọ̀ yìí “rọbb” (Olúwa), ó kó ọ̀rọ̀ mẹ́ta sínú. Dídá ẹ̀dá, ṣíṣe ìjọba lórí ẹ̀dá tàbí níni ẹ̀dá àti dídarí ọ̀rọ̀ ẹ̀dá. Nígbà tí a bá pe Allāhu ní “rọbb” (Olúwa), gbogbo ìwọ̀nyẹn ló kó sínú nítorí pé, Allāhu ni Ẹlẹ́dàá wa, tiRẹ̀ ni ìjọba lórí gbogbo ẹ̀dá, Òun sì ni Ó ń darí kádàrá ẹ̀dá. Nítorí náà, Allāhu ni Olúwa wa. 
 Àmọ́ nígbà tí a bá pe ẹ̀dá kan ní “rọbb”, kò lè kó gbogbo ìròyìn mẹ́tẹ̀ẹ̀ta wọ̀nyẹn sínú. Bí àpẹ̀ẹrẹ, à ń pe onílé ní “rọbbul-baet” nítorí pé, ìtúmọ̀ kan nínú àwọn ìtúmọ̀ “rọbb” ni níni n̄ǹkan”"
3,1,3,"Àjọkẹ́-ayé, Àṣàkẹ́-ọ̀run,",""
4,1,4,"Olùkápá-ọjọ́-ẹ̀san.",""
5,1,5,"Ìwọ nìkan ni à ń jọ́sìn fún. Ọ̀dọ̀ Rẹ nìkan sì ni à ń wá oore sí.¹","1. Èyí ni àdéhùn ojoojúmọ́ tí à ń ṣe fún Allāhu, Ọlọ́hun tí a gbọ́dọ̀ máa jọ́sìn fún ní ọ̀nà òdodo. Nítorí náà, èèwọ̀ ẹ̀sìn ni fún mùsùlùmí láti yapa àdéhùn náà. Ẹnikẹ́ni tí ó bá yapa àdéhùn náà, ó ti di ẹlẹ́bọ pọ́nńbélé títí ó fi máa ronú pìwàdà."
6,1,6,"Fi ẹsẹ̀ wa rinlẹ̀ l’ójú ọ̀nà tààrà (’Islām),¹","1. Sirọ̄tun mustaƙīm “ọ̀nà tààrà” jẹyọ ní àyè 33 nínú al-Ƙur’ān alápọ̀n-ọ́nlé. Ó sì dúró fún ìwọ̀nyí: 
 (1) Jíjìnnà sí ẹbọ ṣíṣe, jíjìnnà sí ìwà ìbàjẹ́, ṣíṣe rere àti lílo òfin Allāhu; ìtúmọ̀ yìí wà bẹ́ẹ̀ nínú sūrah al-’Ani-‘Ām; 6:151-153. 
 (2) Jíjọ́sìn fún Allāhu níkan ṣoṣo àti dídúró ṣinṣin nínú ìjọ́sìn Rẹ̀; ìtúmọ̀ yìí wà bẹ́ẹ̀ nínú sūrah Āli ‘Imrọ̄n; 3:51&101. 
 (3) Ẹ̀sìn kan ṣoṣo tí gbogbo àwọn Ànábì àti àwọn Òjíṣẹ́ Allāhu ṣe; ìtúmọ̀ yìí wà bẹ́ẹ̀ nínú sūrah al-’Ani-‘Ām; 6:83-90. 
 (4) Ẹ̀sìn ’Islām; ìtúmọ̀ yìí wà bẹ́ẹ̀ nínú sūrah al-’Ani-‘Ām; 6:125-126. Nítorí náà, kò sí àyè kan nínú al-Ƙur’ān tí ọ̀nà tààrà ti dúró fún ẹ̀sìn nasọ̄rọ̄ tàbí ẹ̀sìn yẹhudi. 
 Nígbà tí mùsùlùmí bá sì ń ṣàdúà ní gbogbo ìgbà pé “ihdina-ssirọ̄tọl-mustaƙīm” ìtúmọ̀ rẹ̀ ni pé, “Fi ẹsẹ̀ wa rinlẹ̀ l’ójú ọ̀nà tààrà.” Ìyẹn ni pé, “Fi ẹsẹ̀ wa rinlẹ̀ sínú ’Islām ọ̀nà tààrà.” Nítorí náà, àdúà ìfẹsẹ̀rinlẹ̀ sínú ẹ̀sìn ’Islām títí d’ọjọ́ ikú ni àdúà náà dúró fún. Àti pé, āyah 7 ti yanjú ọ̀rọ̀ náà pé, kì í ṣe ọ̀nà yẹhudi nítorí pé, wọ́n ti di ẹni ìbínú lọ́dọ̀ Allāhu. Kì í sì ṣe ọ̀nà nasọ̄rọ̄ nítorí pé, wọ́n ti di olùṣìnà. Ẹ tún wo ìtọsẹ̀-ọ̀rọ̀ sūrah Al-’a‘rọ̄f; 7:23. = 
 Kíyè sí i! Ìdí tí àdúà yìí sì fi pàtàkì púpọ̀ ni pé, tí ènìyàn bá ṣe ẹ̀sìn ’Islām, kò lè jèrè rẹ̀ àyàfi kí ó kú sínú rẹ̀ nítorí sūrah Āli-‘Imrọ̄n; 3:102. Ẹ tún wo ìtọsẹ̀-ọ̀rọ̀ sūrah al-Ƙọsọs; 28:56."
