surah,arabic,latin,english,localtion,sajda,ayah,types
1,سورة الفاتحة,Al-Fatiha,The Opening,1,0,7,Makiyah
2,سورة البقرة,Al-Baqara,The Cow,2,0,286,Madaniyah
3,سورة آل عمران,Aal-e-Imran,The family of Imran,2,0,200,Madaniyah
4,سورة النساء,An-Nisa,The Women,2,0,176,Madaniyah
5,سورة المائدة,Al-Maeda,The Table Spread,2,0,120,Madaniyah
6,سورة الأنعام,Al-Anaam,The cattle,1,0,165,Makiyah
7,سورة الأعراف,Al-Araf,The heights,1,206,206,Makiyah
8,سورة الأنفال,Al-Anfal,"Spoils of war, booty",2,0,75,Madaniyah
9,سورة التوبة,At-Taubah,Repentance,2,0,129,Madaniyah
10,سورة يونس,Yunus,Jonah,1,0,109,Makiyah
11,سورة هود,Hud,Hud,1,0,123,Makiyah
12,سورة يوسف,Yusuf,Joseph,1,0,111,Makiyah
13,سورة الرعد,Ar-Rad,The Thunder,1,15,43,Madaniyah
14,سورة إبراهيم,Ibrahim,Abraham,1,0,52,Makiyah
15,سورة الحجر,Al-Hijr,"Stoneland, Rock city, Al-Hijr valley",1,0,99,Makiyah
16,سورة النحل,An-Nahl,The Bee,1,50,128,Makiyah
17,سورة الإسراء,Al-Isra,The night journey,1,100,111,Makiyah
18,سورة الكهف,Al-Kahf,The cave,1,0,110,Makiyah
19,سورة مريم,Maryam,Mary,1,58,98,Makiyah
20,سورة طه,Taha,Taha,1,0,135,Makiyah
21,سورة الأنبياء,Al-Anbiya,The Prophets,1,0,112,Makiyah
22,سورة الحج,Al-Hajj,The Pilgrimage,1,18,78,Madaniyah
23,سورة المؤمنون,Al-Mumenoon,The Believers,1,0,118,Makiyah
24,سورة النور,An-Noor,The Light,1,0,64,Madaniyah
25,سورة الفرقان,Al-Furqan,The Standard,1,60,77,Makiyah
26,سورة الشعراء,Ash-Shuara,The Poets,1,0,227,Makiyah
27,سورة النمل,An-Naml,THE ANT,1,26,93,Makiyah
28,سورة القصص,Al-Qasas,The Story,1,0,88,Makiyah
29,سورة العنكبوت,Al-Ankaboot,The Spider,1,0,69,Makiyah
30,سورة الروم,Ar-Room,The Romans,1,0,60,Makiyah
31,سورة لقمان,Luqman,Luqman,1,0,34,Makiyah
32,سورة السجدة,As-Sajda,The Prostration,1,15,30,Makiyah
33,سورة الأحزاب,Al-Ahzab,The Coalition,1,0,73,Madaniyah
34,سورة سبأ,Saba,Saba,1,0,54,Makiyah
35,سورة فاطر,Fatir,Originator,1,0,45,Makiyah
36,سورة يس,Ya Seen,Ya Seen,1,0,83,Makiyah
